%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,dt,ux,uz,sx,sz
3110150800,770671,1.64454093953395E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001382508570251,2.32688416468812E-06,4.17645885011092E-06
3112186400,770672,1.64454093953596E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421685934067,-9.61051654816,0.696272134781,0,0,0,0,0,0,0,0,0,0.002015744,0.00085001089148,0.001403506378052,2.57010653165304E-06,4.24366434078005E-06
3114186000,770673,1.64454093953798E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.66935634613,0.696272134781,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001402436904053,2.44683346586062E-06,4.23719944745808E-06
3116225100,770674,1.64454093953999E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.67916297913,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013696,0.000730661632827,0.00140208041272,2.20699561106704E-06,4.2350455781588E-06
3118324300,770675,1.64454093954201E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.001462809483062,2.45056671408969E-06,4.42297415793814E-06
3120196500,770676,1.64454093954402E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.58109664917,0.637432217598,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001283594706848,2.32629264663149E-06,3.87715429020216E-06
3122610700,770677,1.64454093954603E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002014208,0.000770352667298,0.001382684305419,2.32747575793932E-06,4.17752068417518E-06
3124242200,770678,1.64454093954805E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.66935634613,0.666852176189,0,0,0,0,0,0,0,0,0,0.002015744,0.000731404741531,0.00134420327304,2.21148707896907E-06,4.06435452361587E-06
3126450300,770679,1.64454093955006E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013952,0.000809754993995,0.001461509042831,2.44621153449989E-06,4.41511358974054E-06
3129027700,770680,1.64454093955208E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.61051654816,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013696,0.0008096520634,0.00140208041272,2.44558968218985E-06,4.2350455781588E-06
