,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
76,1644542238628731728,,,,gyr,-8.598695384990418e-06,-1.0332687127976835e-05,-1.1850785017,0.211184844375,-0.0069813169539,-0.0010584155694840919,-0.019645864897611266,-0.06431360605285999
77,1644542238629359722,-1.70635700226,-11.0422878265,2.97141480446,acc,-6.920782347452081e-06,-1.2051707291280598e-05,,,,,-0.019654463592996257,-0.06432393873998797
78,1644542238631373405,-2.62818217278,-7.8943529129,2.31436944008,acc,-1.0657066417864892e-05,-9.384581135150235e-06,,,,,-0.019661384375343708,-0.06433599044727925
79,1644542238633387566,-1.9024900198,-9.86548995972,2.55953550339,acc,-7.718106237664885e-06,-1.0383637616304455e-05,,,,,-0.019672041441761573,-0.0643453750284144
80,1644542238633743525,,,,gyr,-7.698291685153649e-06,-1.0398336365636026e-05,-1.58824956417,0.380481779575,-0.0174532923847,-0.0019068974414286463,-0.019672041441761573,-0.0643453750284144
81,1644542238635403395,-3.10870790482,-9.49283695221,2.2359161377,acc,-1.2632441478257287e-05,-9.08579404195318e-06,,,,,-0.019679739733446725,-0.06435577336478004
82,1644542238637417555,-2.60856890678,-9.56148338318,1.67693710327,acc,-1.0582548002673814e-05,-6.803066365889267e-06,,,,,-0.019692372174924984,-0.064364859158822
83,1644542238638755322,,,,gyr,-1.0567526282107287e-05,-6.826376966192318e-06,-1.81688773632,0.439822971821,-0.0226892791688,-0.0022043034507035725,-0.019692372174924984,-0.064364859158822
84,1644542238639431477,-3.21658110619,-9.25747776031,1.48080408573,acc,-1.3046072837854866e-05,-6.005966373380024e-06,,,,,-0.01970293970120709,-0.06437168553578819
85,1644542238641447544,-3.26561427116,-9.62032318115,1.34351098537,acc,-1.3273174596008666e-05,-5.460735530818587e-06,,,,,-0.019715985774044948,-0.06437769150216156
86,1644542238643461466,-3.76575350761,-9.25747776031,0.961051702499,acc,-1.5273451197964462e-05,-3.897912130248575e-06,,,,,-0.019729258948640957,-0.06438315223769238
87,1644542238643767595,,,,gyr,-1.526516497222982e-05,-3.930237759010105e-06,-2.1991147995,0.422369688749,-0.0349065847695,-0.0021170321869350165,-0.019729258948640957,-0.06438315223769238
88,1644542238645475626,-3.90304660797,-9.75761604309,0.872791826725,acc,-1.583403757445738e-05,-3.5407772356145967e-06,,,,,-0.019744524113613188,-0.06438708247545138
89,1644542238647489548,-3.51078057289,-9.88510322571,0.843371868134,acc,-1.4239311106910203e-05,-3.4206166292217147e-06,,,,,-0.019760358151187644,-0.064390623252687
90,1644542238648779631,,,,gyr,-1.4231434055991761e-05,-3.4532424811244144e-06,-2.33525061607,0.457276254892,-0.0383972451091,-0.0022918850514638805,-0.019760358151187644,-0.064390623252687
91,1644542238649503469,-3.01064157486,-9.06134414673,0.176519691944,acc,-1.221079430989343e-05,-7.159422988019315e-07,,,,,-0.019774589585243637,-0.06439407649516812
92,1644542238651517630,-3.94227313995,-9.1299905777,0.549172401428,acc,-1.5993189239029734e-05,-2.2279070549134508e-06,,,,,-0.01978680037955353,-0.06439479243746693
