,field.header.stamp,time,file_name,North,West,North_dd,West_dd,lat,lon,lat_utm,lon_utm,North_deg,West_deg,North_minute_decimal,West_minute_decimal
655,1627577949581959963,2021-07-29 16:59:09.581959963,ply,4616.739810295,11940.886016205,46.27899683825,-119.68143360341668,,,5128541.5401374735,293419.70529812353,46,119,16.739810295000098,40.88601620500049
656,1627577950075199366,2021-07-29 16:59:10.075199604,ply,4616.73909153,11940.886047745,46.27898485883334,-119.68143412908333,,,5128540.210511233,293419.61975031585,46,119,16.739091530000223,40.886047744999814
657,1627577950505306005,2021-07-29 16:59:10.505306005,ply,4616.73851958,11940.88605352,46.27897532633333,-119.68143422533333,,,5128539.151634804,293419.576486305,46,119,16.738519579999775,40.88605352000013
658,1627577951058640003,2021-07-29 16:59:11.058640242,ply,4616.737752139999,11940.886157375,46.27896253566666,-119.68143595625,,,5128537.735015806,293419.39503686083,46,119,16.73775213999943,40.88615737500004
659,1627577951575795889,2021-07-29 16:59:11.575795889,ply,4616.73693326,11940.886194570001,46.278948887666665,-119.68143657616669,,,5128536.220244061,293419.29595305107,46,119,16.736933260000114,40.88619457000095
660,1627577951977402687,2021-07-29 16:59:11.977402687,ply,4616.736376305,11940.886206325,46.27893960508333,-119.68143677208333,,,5128535.189395018,293419.2459507112,46,119,16.736376304999794,40.886206324999876
661,1627577952447379589,2021-07-29 16:59:12.447379827,ply,4616.73572359,11940.88634084,46.2789287265,-119.68143901399999,,,5128533.986554333,293419.0323252423,46,119,16.735723589999907,40.88634083999932
662,1627577952895419598,2021-07-29 16:59:12.895419598,ply,4616.735072330001,11940.886349920002,46.27891787216667,-119.68143916533336,,,5128532.780956626,293418.97984659777,46,119,16.73507233000055,40.88634992000152
663,1627577953414084673,2021-07-29 16:59:13.414084673,ply,4616.73434789,11940.88648997,46.27890579816667,-119.6814414995,,,5128531.445537351,293418.7546185924,46,119,16.73434789000021,40.886489970000184
664,1627577953826439619,2021-07-29 16:59:13.826439619,ply,4616.73366608,11940.886583925,46.27889443466667,-119.68144306541666,,,5128530.187056321,293418.5912474682,46,119,16.733666080000148,40.886583924999286
665,1627577954336696148,2021-07-29 16:59:14.336696148,ply,4616.73289752,11940.886633664999,46.278881625333334,-119.68144389441665,,,5128528.76601153,293418.4792100137,46,119,16.732897519999824,40.88663366499895
666,1627577954743168116,2021-07-29 16:59:14.743168116,ply,4616.732308875,11940.88672271,46.27887181458333,-119.6814453785,,,5128527.679838498,293418.3279826188,46,119,16.732308874999944,40.88672270999996
667,1627577955274523735,2021-07-29 16:59:15.274523735,ply,4616.731478955,11940.88676987,46.27885798258333,-119.68144616449999,,,5128526.1450561695,293418.2154118073,46,119,16.731478955000057,40.886769869999625
