,x,y
111,5128521.322716534,293454.1739597912
112,5128521.267776905,293454.17757597985
113,5128520.99380851,293454.2747595948
114,5128524.096531497,293456.3895470163
115,5128524.303214696,293456.6318249666
116,5128524.233292884,293456.7723781798
117,5128529.618690939,293459.71658304904
118,5128533.218120335,293461.8549132469
119,5128537.316896228,293464.3246335882
120,5128540.0683385935,293466.2616003064
121,5128474.574156327,293421.7297212543
122,5128474.994288136,293422.0228159407
123,5128476.742982584,293423.9388621173
124,5128479.769519204,293425.3586722786
125,5128480.083113665,293425.4856427482
126,5128481.497437325,293426.4726305472
127,5128481.499469642,293426.45500510716
128,5128481.497529458,293426.4774626852
129,5128484.7768921135,293428.8664948896
130,5128489.376705448,293431.46338623815
131,5128489.357216466,293431.51746922487
132,5128489.377000577,293431.42687778646
133,5128489.761308101,293431.7373841826
134,5128489.898445449,293431.6652191021
135,5128493.720825008,293434.08021072205
136,5128494.100271548,293434.4445530725
137,5128495.464445331,293435.16400324233
138,5128495.496118572,293435.1173016863
139,5128496.529502573,293436.08933635434
140,5128496.38872837,293436.0557166047
141,5128496.650946268,293436.1033317161
142,5128497.634593171,293436.5352968299
143,5128497.708285149,293436.60424748994
144,5128500.581813332,293438.71164457494
145,5128500.447349621,293438.65026340337
146,5128503.633034849,293440.1648198818
147,5128505.6745139025,293441.81870550354
148,5128508.349395608,293443.2610668154
149,5128513.89790109,293446.542379571
150,5128513.861544946,293446.5051220033
151,5128516.817691129,293449.1031974753
152,5128516.168908339,293448.33381652454
153,5128518.13693665,293449.34008137096
154,5128527.010100149,293455.0387146258
155,5128528.071712802,293455.5537568696
156,5128531.726603167,293457.6453712097
157,5128533.148909495,293458.60918787733
158,5128535.8450315865,293460.3435465169
159,5128537.973602362,293461.58098053874
160,5128537.184905044,293461.7142382977
161,5128542.425202487,293464.7623916185
162,5128542.555491221,293464.7047000306
163,5128545.692089737,293466.6981929206
164,5128545.46377889,293466.4953870575
165,5128545.479812384,293466.5170285588
166,5128546.077438026,293467.32559463615
167,5128546.671612621,293467.6739028569
168,5128584.064758747,293424.8911451881
169,5128584.039610825,293424.94915980706
170,5128582.9843373075,293424.52199010085
