,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
1170,4616.729847795001,46.27883079658334,11940.861353805001,-119.68102256341669,1627578187659586906,ply,0.8077179713737295,185641.282022636,-2.0888278958852453,9125169.071203863,2021-07-29 17:03:07.659586906,46,119,16.72984779500075,40.86135380500127
1171,4616.7301364800005,46.27883560800001,11940.861110490001,-119.68101850816669,1627578188080504894,ply,0.8077180553487919,185641.30173835787,-2.0888278251077805,9125169.087071585,2021-07-29 17:03:08.080504894,46,119,16.73013648000051,40.86111049000101
1172,4616.7304091999995,46.27884015333333,11940.86086648,-119.68101444133332,1627578188523881912,ply,0.807718134679824,185641.32038841883,-2.088827754128148,9125169.103013707,2021-07-29 17:03:08.523881912,46,119,16.730409199999485,40.86086647999946
1173,4616.73067753,46.27884462550001,11940.86063233,-119.68101053883332,1627578188976543188,ply,0.8077182127338572,185641.3387279272,-2.0888276860166743,9125169.118300155,2021-07-29 17:03:08.976543188,46,119,16.73067753000032,40.860632329999135
1174,4616.73097298,46.27884954966667,11940.860399445,-119.68100665741667,1627578189393991947,ply,0.8077182986767784,185641.35887754397,-2.088827618273174,9125169.133454543,2021-07-29 17:03:09.393991947,46,119,16.730972979999933,40.86039944500044
1175,4616.73135355,46.2788558925,11940.860101985,-119.68100169974998,1627578189875439167,ply,0.8077184093801039,185641.38482793127,-2.0888275317455673,9125169.152805446,2021-07-29 17:03:09.875439167,46,119,16.731353549999767,40.860101984999346
1176,4616.731663074999,46.27886105124999,11940.859865355,-119.68099775591666,1627578190275776625,ply,0.8077184994172766,185641.4059246484,-2.0888274629126906,9125169.16818739,2021-07-29 17:03:10.275776625,46,119,16.731663074999233,40.85986535499978
1177,4616.73209356,46.278868226,11940.859508605,-119.68099181008334,1627578190790456772,ply,0.8077186246402872,185641.4353139944,-2.0888273591383224,9125169.19144025,2021-07-29 17:03:10.790456772,46,119,16.732093560000067,40.85950860500088
1178,4616.73255142,46.278875857,11940.859141535,-119.68098569225,1627578191281512976,ply,0.8077187578263625,185641.4665506842,-2.0888272523619875,9125169.21533993,2021-07-29 17:03:11.281512976,46,119,16.732551420000163,40.85914153500016
1179,4616.733020025,46.27888366708333,11940.858793315001,-119.68097988858335,1627578191788588285,ply,0.8077188941380314,185641.4984725576,-2.088827151068896,9125169.237952976,2021-07-29 17:03:11.788588285,46,119,16.73302002499986,40.858793315001094
1180,4616.73339502,46.278889917,11940.858426570001,-119.68097377616668,1627578192214814663,ply,0.8077190032196553,185641.5241711683,-2.0888270443870995,9125169.261974292,2021-07-29 17:03:12.214814663,46,119,16.73339501999999,40.85842657000103
1181,4616.733869695,46.27889782825,11940.858028785,-119.68096714641666,1627578192661661625,ply,0.8077191412970158,185641.55658507484,-2.0888269286761334,9125169.287911031,2021-07-29 17:03:12.661661625,46,119,16.733869695000067,40.85802878499999
1182,4616.734383565,46.278906392749995,11940.85762942,-119.68096049033332,1627578193130253792,ply,0.8077192907757395,185641.59162096962,-2.088826812505564,9125169.313886175,2021-07-29 17:03:13.130253792,46,119,16.734383564999916,40.857629419999284
1183,4616.7348977,46.27891496166667,11940.85722864,-119.68095381066665,1627578193631989479,ply,0.8077194403315487,185641.62667704027,-2.0888266959233874,9125169.339956054,2021-07-29 17:03:13.631989479,46,119,16.734897700000147,40.85722863999945
1184,4616.735399839999,46.27892333066666,11940.856838895,-119.68094731491668,1627578194133661032,ply,0.8077195863981537,185641.6609123006,-2.088826582551163,9125169.365304388,2021-07-29 17:03:14.133661032,46,119,16.735399839999445,40.85683889500069
