,time,field.header.stamp,North,West,file_name,lat,lon,Lat,Long
5861,2021-07-29 16:58:45.019972096,1627577925019972085,4616.76962647,11940.87498469,./Data/gps_4.csv,80.57783078797026,28.407584051867985,525722.8355707665,8946393.383201841
5862,2021-07-29 16:58:45.069797888,1627577925069797992,4616.76961985,11940.87508932,./Data/gps_4.csv,80.57783067242946,28.40758587800599,525722.8692486237,8946393.371117758
5863,2021-07-29 16:58:45.119847936,1627577925119848012,4616.76961627,11940.87516628,./Data/gps_4.csv,80.57783060994667,28.4075872212114,525722.8939593124,8946393.364740381
5864,2021-07-29 16:58:45.168660992,1627577925168661117,4616.76960502,11940.87523153,./Data/gps_4.csv,80.57783041359713,28.407588360038716,525722.915297913,8946393.343334671
5865,2021-07-29 16:58:45.219886080,1627577925219886064,4616.76959657,11940.87530788,./Data/gps_4.csv,80.57783026611682,28.40758969259761,525722.9400439928,8946393.327467948
5866,2021-07-29 16:58:45.270898176,1627577925270898103,4616.76959318,11940.87535237,./Data/gps_4.csv,80.57783020695014,28.407590469094572,525722.9543913945,8946393.321209613
5867,2021-07-29 16:58:45.319907840,1627577925319907903,4616.76958793,11940.87542907,./Data/gps_4.csv,80.57783011532035,28.407591807762117,525722.9790980144,8946393.311577797
5868,2021-07-29 16:58:45.368894976,1627577925368895053,4616.76959112,11940.87553408,./Data/gps_4.csv,80.57783017099636,28.407593640532355,525723.0124339219,8946393.318602258
5869,2021-07-29 16:58:45.419909888,1627577925419909954,4616.76959121,11940.87564512,./Data/gps_4.csv,80.57783017256716,28.407595578545994,525723.0478390804,8946393.319635885
5870,2021-07-29 16:58:45.470001920,1627577925470001935,4616.76958945,11940.8756788,./Data/gps_4.csv,80.57783014184938,28.407596166372855,525723.0586623428,8946393.31646852
5871,2021-07-29 16:58:45.519958016,1627577925519958019,4616.76958838,11940.87574365,./Data/gps_4.csv,80.57783012317434,28.40759729821889,525723.0793927934,8946393.314885922
5872,2021-07-29 16:58:45.568609024,1627577925568608999,4616.76958845,11940.8758097,./Data/gps_4.csv,80.57783012439607,28.40759845100888,525723.1004520913,8946393.315532822
5873,2021-07-29 16:58:45.619809024,1627577925619808912,4616.7695881,11940.87587761,./Data/gps_4.csv,80.57783011828742,28.40759963626195,525723.1221243495,8946393.315376127
5874,2021-07-29 16:58:45.676995072,1627577925676995038,4616.769585,11940.87596487,./Data/gps_4.csv,80.57783006418221,28.407601159236236,525723.1500969335,8946393.310013205
5875,2021-07-29 16:58:45.719835904,1627577925719835996,4616.76958291,11940.87604644,./Data/gps_4.csv,80.57783002770483,28.40760258290132,525723.1762073587,8946393.306573344
5876,2021-07-29 16:58:45.779956224,1627577925779956102,4616.76957841,11940.87611666,./Data/gps_4.csv,80.57782994916501,28.40760380847152,525723.1988121741,8946393.298352113
5877,2021-07-29 16:58:45.819833088,1627577925819833040,4616.76957479,11940.8761958,./Data/gps_4.csv,80.57782988598409,28.407605189725075,525723.2242199318,8946393.29191369
5878,2021-07-29 16:58:45.870862848,1627577925870862960,4616.76957353,11940.87625471,./Data/gps_4.csv,80.57782986399296,28.407606217898547,525723.2430651536,8946393.289915144
5879,2021-07-29 16:58:45.919853824,1627577925919853925,4616.7695714,11940.87633015,./Data/gps_4.csv,80.57782982681744,28.407607534574936,525723.2672226799,8946393.286349993
5880,2021-07-29 16:58:45.968768000,1627577925968767881,4616.76956702,11940.87640434,./Data/gps_4.csv,80.57782975037202,28.407608829434736,525723.2910878201,8946393.278393164
5881,2021-07-29 16:58:46.019926016,1627577926019926071,4616.76956346,11940.87648574,./Data/gps_4.csv,80.5778296882383,28.407610250132734,525723.317213435,8946393.272089068
5882,2021-07-29 16:58:46.070077952,1627577926070077896,4616.76954504,11940.8765392,./Data/gps_4.csv,80.57782936674863,28.407611183185765,525723.3351308488,8946393.236628193
5883,2021-07-29 16:58:46.119908096,1627577926119908094,4616.76953206,11940.87661191,./Data/gps_4.csv,80.5778291402049,28.407612452214636,525723.3589300462,8946393.21191088
5884,2021-07-29 16:58:46.168713216,1627577926168713092,4616.76951762,11940.87667063,./Data/gps_4.csv,80.57782888817937,28.407613477071976,525723.3783369185,8946393.184241975
5885,2021-07-29 16:58:46.219854080,1627577926219854116,4616.76950372,11940.87676491,./Data/gps_4.csv,80.57782864557859,28.407615122568387,525723.4090579839,8946393.157899639
5886,2021-07-29 16:58:46.269972992,1627577926269973039,4616.76948937,11940.87680586,./Data/gps_4.csv,80.57782839512384,28.40761583728073,525723.4227939558,8946393.13026865
5887,2021-07-29 16:58:46.319845888,1627577926319845914,4616.76947518,11940.8769043,./Data/gps_4.csv,80.57782814746163,28.407617555382842,525723.454855292,8946393.10339368
5888,2021-07-29 16:58:46.368899072,1627577926368899106,4616.7694618,11940.87694069,./Data/gps_4.csv,80.57782791393657,28.407618190508146,525723.4670913375,8946393.077616578
5889,2021-07-29 16:58:46.419801856,1627577926419801950,4616.76944812,11940.87703892,./Data/gps_4.csv,80.57782767517553,28.40761990494508,525723.4990616326,8946393.051733242
5890,2021-07-29 16:58:46.469800960,1627577926469800949,4616.76944576,11940.87705882,./Data/gps_4.csv,80.57782763398576,28.407620252265616,525723.5055189385,8946393.047290824
5891,2021-07-29 16:58:46.520453888,1627577926520453929,4616.76943925,11940.87714558,./Data/gps_4.csv,80.57782752036482,28.407621766513245,525723.5334930768,8946393.035282856
5892,2021-07-29 16:58:46.568697088,1627577926568696975,4616.76942681,11940.87720244,./Data/gps_4.csv,80.57782730324587,28.40762275890748,525723.5522124018,8946393.011494704
5893,2021-07-29 16:58:46.619932928,1627577926619932889,4616.76941654,11940.87729245,./Data/gps_4.csv,80.57782712400055,28.40762432987836,525723.5814004451,8946392.992189018
5894,2021-07-29 16:58:46.676847104,1627577926676846981,4616.76938543,11940.87733724,./Data/gps_4.csv,80.57782658102862,28.40762511161128,525723.5971522138,8946392.931946548
5895,2021-07-29 16:58:46.719928064,1627577926719928026,4616.76936196,11940.87742481,./Data/gps_4.csv,80.57782617139986,28.407626639996124,525723.6261853586,8946392.886914166
5896,2021-07-29 16:58:46.780101888,1627577926780102014,4616.76934458,11940.87745969,./Data/gps_4.csv,80.57782586806162,28.40762724876697,525723.6381287338,8946392.853335138
5897,2021-07-29 16:58:46.819820800,1627577926819820880,4616.76932496,11940.87757115,./Data/gps_4.csv,80.57782552562801,28.407629194110967,525723.6745983746,8946392.815985551
5898,2021-07-29 16:58:46.871130880,1627577926871130943,4616.7692927,11940.87758608,./Data/gps_4.csv,80.5778249625848,28.407629454688617,525723.6808824218,8946392.753272558
5899,2021-07-29 16:58:46.920322816,1627577926920322895,4616.76926507,11940.87769292,./Data/gps_4.csv,80.57782448035034,28.407631319398376,525723.7162569632,8946392.700287273
5900,2021-07-29 16:58:46.968827904,1627577926968827962,4616.76924698,11940.87770883,./Data/gps_4.csv,80.57782416462028,28.407631597080268,525723.7221845397,8946392.665178835
5901,2021-07-29 16:58:47.019951104,1627577927019951105,4616.7692254,11940.87782985,./Data/gps_4.csv,80.57782378797823,28.407633709277746,525723.7617953027,8946392.62408593
5902,2021-07-29 16:58:47.070008064,1627577927070008039,4616.76920202,11940.87782603,./Data/gps_4.csv,80.57782337992025,28.407633642606157,525723.7616809495,8946392.57852236
5903,2021-07-29 16:58:47.119910912,1627577927119910955,4616.76917929,11940.87793122,./Data/gps_4.csv,80.5778229832069,28.407635478518017,525723.7962979978,8946392.535067385
5904,2021-07-29 16:58:47.168588032,1627577927168587923,4616.76916084,11940.87793576,./Data/gps_4.csv,80.57782266119366,28.407635557755953,525723.7986168056,8946392.49916993
5905,2021-07-29 16:58:47.219862016,1627577927219861984,4616.76914082,11940.87803941,./Data/gps_4.csv,80.57782231177873,28.407637366789714,525723.832614825,8946392.460980948
5906,2021-07-29 16:58:47.270998016,1627577927270998001,4616.76911428,11940.87807645,./Data/gps_4.csv,80.57782184856836,28.407638013259685,525723.8456794692,8946392.409578938
5907,2021-07-29 16:58:47.319844864,1627577927319844961,4616.76909013,11940.8781949,./Data/gps_4.csv,80.57782142707134,28.407640080602164,525723.8845920345,8946392.363460928
5908,2021-07-29 16:58:47.368845056,1627577927368844985,4616.76904944,11940.8782049,./Data/gps_4.csv,80.57782071689688,28.407640255135107,525723.8897019668,8946392.284291867
5909,2021-07-29 16:58:47.420079872,1627577927420079946,4616.76901481,11940.87831907,./Data/gps_4.csv,80.57782011248935,28.40764224777749,525723.9277444716,8946392.217730304
5910,2021-07-29 16:58:47.469815040,1627577927469815015,4616.76899354,11940.87832118,./Data/gps_4.csv,80.57781974125783,28.407642284603952,525723.929421521,8946392.176321939
5911,2021-07-29 16:58:47.520612864,1627577927520612955,4616.76896739,11940.8784541,./Data/gps_4.csv,80.57781928485423,28.4076446044956,525723.9730428476,8946392.126420662
5912,2021-07-29 16:58:47.568635904,1627577927568635940,4616.76892849,11940.87844382,./Data/gps_4.csv,80.57781860592114,28.407644425075745,525723.9716012059,8946392.050580965
5913,2021-07-29 16:58:47.619916032,1627577927619915962,4616.76889426,11940.87856336,./Data/gps_4.csv,80.57781800849493,28.407646511442323,525724.011337274,8946391.984839942
5914,2021-07-29 16:58:47.676909824,1627577927676909923,4616.76886825,11940.87858535,./Data/gps_4.csv,80.5778175545348,28.40764689524022,525724.0195776266,8946391.934353804
5915,2021-07-29 16:58:47.719924992,1627577927719924926,4616.76883923,11940.87873313,./Data/gps_4.csv,80.57781704804025,28.407649474487783,525724.0680731583,8946391.878977897
